campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120206724232640289,Atlas Copco Industrial - Fieldservice Technician - Mjölby - Facebook & Instagram Boost - Position ID: (52344) - SIMON,Product/Service,Atlas Copco Industrial,Servicetekniker,Unknown,Unknown,facebook,1,0,0,0,45840,647,2670.0,15,1.4114310645724257,Low,4.126738794435858,Low,178.0,43.13333333333333,24.232209737827716
120202208427980459,Stockholms Sjukhem - Arbetsterapeut till nytt äldreboende i Bromma - Bromma - Standard Boost - Position ID: (1390) - SIMON,Other,Stockholms Sjukhem,,Stockholm,Stor stad,facebook,1,0,0,0,42539,1022,2670.0,15,2.402501234161593,Medium,2.6125244618395302,Low,178.0,68.13333333333334,38.27715355805243
120210522743850778,"Bilprovningen - Besiktningstekniker - Berga, Helsingborg - Boost - Position ID (53694) - LINNEA",Recruitment,Bilprovningen,Tekniker,Helsingborg,Mellanstor stad,facebook,1,0,0,0,64779,1705,2670.0,15,2.6320258108337575,Medium,1.565982404692082,Very Low,178.0,113.66666666666667,63.857677902621724
120209559903500498,Kronfågel - Medarbetare till vårt Lager på Kronfågel - Valla - Boost - Position ID (53775) - LINNEA,Other,Kronfågel,Lagerarbetare,Unknown,Unknown,facebook,1,0,0,0,67776,3871,2670.0,15,5.711461284230406,Very High,0.6897442521312322,Very Low,178.0,258.06666666666666,144.9812734082397
120203879385700355,Meliva - Gynekolog sökes till Meliva Gyn Ekeby i Uppsala - Uppsala län - Boost - Position ID (49151) - AGNES,Other,Meliva,,Uppsala,Mellanstor stad,facebook,1,0,0,0,49838,527,2670.0,15,1.057426060435812,Low,5.066413662239089,Medium,178.0,35.13333333333333,19.737827715355806
120207846844360289,Atlas Copco Industrial - Team / Project Manager - Göteborg - Facebook & Instagram Boost - Position ID: (52960) - SIMON,Other,Atlas Copco Industrial,Chef,Göteborg,Stor stad,facebook,1,0,0,0,44356,1152,2670.0,12,2.5971683650464423,Medium,2.317708333333333,Low,222.5,96.0,43.146067415730336
120203970063230520,Vemmab - Arbetsledare - Västerås - Boost - Position ID (47951) - MOA,Other,Vemmab,Chef,Västerås,Mellanstor stad,facebook,1,0,0,0,87102,4815,2670.0,15,5.528001653234139,Very High,0.5545171339563862,Very Low,178.0,321.0,180.3370786516854
324518183,MaxMatthiessen - Junior finansiell analytiker - Stockholm - Boost (LinkedIn) - Position ID: (54824) - AGNES,Other,MaxMatthiessen,,Stockholm,Stor stad,linkedin,0,1,0,0,4768,77,2670.0,15,1.6149328859060401,Low,34.675324675324674,Very High,178.0,5.133333333333334,2.8838951310861423
120209763921570062,"Dufry Sverige - Payroll och HR Coordinator till Avolta, Arlanda flygplats - Stockholm Arlanda - Facebook & Instagram Boost - Position ID: (52721) - LINNEA",Other,Dufry Sverige,,Stockholm,Stor stad,facebook,1,0,0,0,51323,1198,2670.0,15,2.3342361124641973,Medium,2.2287145242070117,Low,178.0,79.86666666666666,44.8689138576779
120203226644790289,Atlas Copco Industrial - System Test Coordinator - Stockholm - Boost - Position ID: (50164) - LINNEA,Other,Atlas Copco Industrial,,Stockholm,Stor stad,facebook,1,0,0,0,46126,760,2670.0,13,1.6476607553223779,Low,3.513157894736842,Low,205.3846153846154,58.46153846153846,28.46441947565543
