campaign_id,campaign_name,platform,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,cpc_sek
23851643317810538,Teracom (232) - Employer Branding - Step 1/3 - Awareness - CI: Telecommunication - TA: Data & IT - Sweden - Stockholm - Edvin - IT,facebook,342068,6937,26096.4156,326,2.027959353111077329653753054948138967,3.76191662101773100764019028398443131036
208013544,421 (194) - Employer Branding - Step 1/3 - Awareness - CI: Consulting - TA: Economy & Finance - Sweden - Stockholm - Edvin,linkedin,34655,111,26078.5395,343,0.32030010099552734093204443803203001,234.9417972972972972972972972972972972973
188877983,Fabege (36) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin,linkedin,33375,221,25840.4006,343,0.662172284644194756554307116104868914,116.92488959276018099547511312217194570136
346753233,Epidemic sound - Two Step Advertising - Step 1/2 - Awareness - CI: Technology & Electronics - TA: Sales - USA - New York - EDVIN - N:,linkedin,35470,125,25740,92,0.352410487736115026783197067944742036,205.92
346772443,Epidemic sound- Two Step Advertising - Step 2/2 - Decision - CI: Technology & Electronics - TA: Sales - USA - New York - Edvin - N:,linkedin,35389,186,25739.8,92,0.5255870468224589561728220633530193,138.38602150537634408602150537634408602151
1816958753522945,Epidemic sound - Two Step Advertising - Step 1/2 - Awareness - CI: Technology & Electronics - TA: Sales - USA - New York - EDVIN - N:,tiktok,584568,4352,25729.75,92,0.744481394807789684005966799414268314,5.91216681985294117647058823529411764706
1816959345322113,Epidemic sound- Two Step Advertising - Step 2/2 - Decision - CI: Technology & Electronics - TA: Sales - USA - New York - Edvin - N:,tiktok,414999,5248,25729.26,92,1.264581360437013101236388521418123899,4.90267911585365853658536585365853658537
218030283,Hemsö (115) - Employer Branding - Step 2/3 - Consideration - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin,linkedin,49119,810,25656.27,366,1.64905637329750198497526415440053747,31.67440740740740740740740740740740740741
120216585364000123,Securitas - Employer Branding - Step 1/3 - Awareness - CI: Safety & Security - TA: Safety & Security - Sweden -  - Edvin - N:,facebook,463474,12749,25437.12,186,2.750747614752931124507523615132671951,1.99522472350772609616440505137657855518
231105173,Epidemic Sound - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin,linkedin,63107,336,25367.9282,352,0.53242904907537991031105899504016987,75.49978630952380952380952380952380952381
23852001488890727,SBC (264) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin,facebook,389634,15537,25322.4937,457,3.987588352145859960886370285960670783,1.62981873592070541288537040612730900431
23852122403200458,Billerud (143) - Employer Branding - Step 1/3 - Awareness - Manufacturing - Data & IT - Sweden - Multiple Cities - Edvin,facebook,330925,8841,25116.5855,456,2.671602326811210999471179270227392914,2.84092133242845831919466123741658183463
f9514b55-b2e8-4489-9271-9d1563753d17,TopWork - Trafikdrivare - Flera platser - Trafikdrivare - Position ID ID: (-) - SIMON,snapchat,256457,7645,24840.0706,165,2.981006562503655583587112069469735667,3.24919170699803793328973185088293001962
120207987211630459,Stockholms Sjukhem (xxx) - Employer Branding - Step 1/2 - Awareness - CI: Healthcare - TA: Multiple Target Audiences - Sweden - Stockholm - Moa - N:,facebook,422222,17766,24793.7958,217,4.207739056704766686719308799636210335,1.39557558257345491388044579533941236069
120207987988090459,Stockholms Sjukhem (xxx) - Employer Branding - Step 2/2 - Decision - CI: Healthcare - TA: Multiple Target Audiences - Sweden - Stockholm - Moa - N:,facebook,431652,18961,24764.5804,217,4.392658901151853808160277260385681058,1.30607986920521069563841569537471652339
120213301375340772,We Select - B2B Advertising - Step 1/3 - Awareness - Always-on,facebook,354462,6603,24745.23,155,1.862823095282428017671851989776054979,3.74757383007723761926397092230804179918
120223083190820397,Skatteverket - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Data & IT - Sweden -  - Edvin - N:,facebook,431039,21232,24502.1899,162,4.925772377905479550574309981231396695,1.15402175489826676714393368500376789751
120210969660400675,Trafikförvaltningen - Employer Branding - Step 2/3 - Consideration - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:,facebook,329710,11416,24500,93,3.462436686785356828728276364077522671,2.14611072179397337070777855641205325858
120217155543710602,DEKRA Automotive (455) - Employer Branding - Step 1/3 - Awareness - CI: Automotive - TA: Automotive - Sweden - Region Öst - Edvin,facebook,377203,15446,24488.61,273,4.094877294189070606543426218773445598,1.585433769260650006474168069403081704
120208092656970772,We Select - B2B Advertising - Step 2/3 - Consideration - Always-on - E-books / Webinars / Templates,facebook,363522,2985,24426.6699,123,0.821133246405994685328535824516810537,8.18313899497487437185929648241206030151
1770136377690145,Epidemic Sound - Employer Branding - Step 2/3 - Consideration - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin,tiktok,2095619,16039,24149.11,416,0.765358588560229698241903704824207072,1.50564935469792381071139098447534135545
120203800699020348,Wise IT - Trafikdrivande kampanj till Uptrail och Wise tjänster 231201 till 241130 - Sverige - AGNES,facebook,460928,12338,24009.8994,118,2.67677381282976950846986948069980561,1.94601227103258226616955746474307018966
332808226,Trafikförvaltningen - Employer Branding - Step 2/3 - Consideration - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:,linkedin,33197,278,23912,93,0.837425068530288881525439045696900322,86.01438848920863309352517985611510791367
120205883047330711,NOVO Energy (Engineering) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Manufacturing & Production - Sweden - Multiple Cities - Moa - N: Nationellt,facebook,480900,9063,23645.5664,94,1.884591391141609482220835932626325639,2.60902200154474235904225973739379896282
373892456,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Edvin - 2025,linkedin,33853,125,23464.1936,144,0.369243493929636959796768380941127817,187.7135488
23853385025430308,GS1 (402) - Employer Branding - Step 2/3 - Consideration - CI: Data & IT - TA: Head Office - Sweden - Multiple Cities - Edvin,facebook,347339,13139,23073.885,458,3.782759782230040392815088429459404213,1.75613707283659334804779663596925184565
23858851780590086,"Proco Services AB (780) - Employer Branding - Step 2/3 - Consideration - CI: Construction, Civil Engineering & Infrastructure - TA: Manufacturing & Production - Sweden - Multiple Cities - Edvin - N:",facebook,446798,17259,23057.48,451,3.8628194396572947954109015707321877,1.33596848021322208702705834637000984993
120203758816010530,"Bjerking VÄST - Employer Branding - Step 1/2- Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:",facebook,336753,17742,22748.8826,305,5.268549946102930040712332184123081309,1.28220508398151279449892909480329162439
23852369522890429,421 (194) - Employer Branding - Step 2/3 - Consideration - CI: Consulting - TA: Economy & Finance - Sweden - Stockholm - Edvin,facebook,202329,4796,22686.4601,456,2.370396730078238907917303006489430581,4.73028776063386155129274395329441201001
275711633,Meliva (687) - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Läkare,linkedin,10745,93,21949.3048,273,0.865518845974872033503955328059562587,236.01403010752688172043010752688172043011
