Roll,Platform,Total_Impressions,Total_Clicks,Total_Spend_SEK,CTR_Percent,CPC_SEK,Daily_Spend_SEK,Number_of_Campaigns,Storlek_pa_Stad,Performance_Score
Trafikdrivare,Facebook,2048231,96843,131985.59,4.853,1.4975,99.6575,4,Multiple Cities,29.622985308848083
Trafikdrivare,Snapchat,256457,7645,24840.07,2.981,3.25,150.55,1,Multiple Cities,14.096292307692309
